Todays Date,14/Jan/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mines,Initial Lease Grant Date,Mine Lease validity till,Balance (Days),Balance (Years),Alert Type,Renewal Status,ML Deed Execution,ML Area (ha),Forest Area(ha),FC Stage-II granted on,FC Valid till,Balance (Days),Balance (Years),Alert Type,Stage-II approval (ha),NPV Paid area (ha),Mining Plan,Renewal Status,Balance (Days),Balance (Years),Alert Type,EC Capacity,EC granted on,EC Valid till,EC Renewal Status,Balance (Days),Balance (Years),Alert Type,"Wildlife 
Clearance",CGWA NoC,Alert Type,CGWA NoC Status,CTE,CTO,Conc. Plant EC,Conc. Plant EC Capacity ,Alert Type,Conc. Plant CTE,Conc. Plant CTO,Conc. Plant CTO Capacity,Alert Type
Malanjkhand ,28/Aug/1973,27/Aug/2043,7165,19 Yrs 7 Mn 13 Days ,ON TIME,,Executed,479.9,122.6,1978,1980,-15931,,EXPIRED,,,31/Mar/2028,,1538,4 Yrs 2 Mn 17 Days ,ON TIME,5 MTPA,17/Jun/2013,16/Dec/2035,,4354,11 Yrs 11 Mn 2 Days ,ON TIME,Valid as per EC,30/May/2025,ON TIME,,"30.11.2028
(5 MTPA UG Mine Expansion)
","31.10.2023
(3 MTPA)
(Renewal in process)",17/Jun/2013,"
(5 MTPA)",EXPIRED,"Will be applied
(for expansion)",30/Jun/2027,"(99,600 TPA)",ON TIME
"Khetri 
",23/Feb/1963,31/Mar/2040,5921,16 Yrs 2 Mn 17 Days ,ON TIME,,Executed,395.07,164.44,10/Feb/1998,31/Mar/2040,5921,16 Yrs 2 Mn 17 Days ,ON TIME,164.44,164.44,31/Mar/2025,,442,1 Yrs 2 Mn 17 Days ,EXPIRING SOON,1.5 MTPA,17.06.2015,16/Dec/2035,,4354,11 Yrs 11 Mn 2 Days ,ON TIME,NA,13/Sep/2024,EXPIRING SOON,,"31.08.2028
(0.65 MTPA expansion)","30.04.2024
(0.85 MTPA)",17/Jun/2015,(2.4 MTPA),EXPIRED,"30.04.2024
(1,20,000 TPA)",30/Apr/2024,"(1,20,000 TPA)",EXPIRING SOON
"Kolihan
",24/Nov/1966,31/Mar/2040,5921,16 Yrs 2 Mn 17 Days ,ON TIME,,Executed,163.23,161.83,16/Dec/1997,31/Mar/2040,5921,16 Yrs 2 Mn 17 Days ,ON TIME,161.83,161.83,31/Mar/2025,,442,1 Yrs 2 Mn 17 Days ,EXPIRING SOON,1.5 MTPA,02.02.2015,01/Feb/2035,,4036,11 Yrs 0 Mn 18 Days ,ON TIME,NA,31/Oct/2023,EXPIRED,,,"31.03.2025
(1 MTPA)",17/Jun/2015,(2.4 MTPA),EXPIRED,"30.04.2024
(1,20,000 TPA)",30/Apr/2024,"(1,20,000 TPA)",EXPIRING SOON
"Chandmari
",27/Dec/1972,26/Dec/2042,6921,18 Yrs 11 Mn 12 Days ,ON TIME,,Executed,148.45,95.81,16/Dec/1997,26/Dec/2022,-384,,EXPIRED,95.81,95.81,31/Mar/2027,,1172,3 Yrs 2 Mn 17 Days ,ON TIME,,"In process of 
application",,,-45305,#NUM!,EXPIRED,"Will be applied 
as per 
EC application",,EXPIRED,"Will be applied as per 
EC application",will be applied after grant of EC,will be applied after grant of EC,,,EXPIRED,,,,EXPIRED
"Surda 
",16/Jun/1939,31/Mar/2040,5921,16 Yrs 2 Mn 17 Days ,ON TIME,,Pending,388.68,"149.03
 (83.51+65.52)",15/May/1998,31/Mar/2040,5921,16 Yrs 2 Mn 17 Days ,ON TIME,83.51,149.03,31/Mar/2025,,442,1 Yrs 2 Mn 17 Days ,EXPIRING SOON,0.9 MTPA,"30.05.2022
(Amendment applied)",29/May/2052,,10363,28 Yrs 4 Mn 15 Days ,ON TIME,Valid as per EC,20/Sep/2023,EXPIRED,(Renewal will be applied),Will be applied after garnt of EC amendment,Will be applied after garnt of EC amendment,28/Jun/2022,(0.9 MTPA),EXPIRED,"Will be applied 
before expansion",31/Dec/2022,(15600 TPA),EXPIRED
"Kendadih
",02/Jun/1973,02/Jun/2023,-226,,EXPIRED,"
Renewal applied on 16.03.2022","After grant 
of renewal",1139.6,"638.84
 (225.363+413.477)",28/Nov/2016,02/Jun/2023,-226,,EXPIRED,225.363,638.84,02/Jun/2023,Applied,-226,,EXPIRED,0.45 MTPA,20.01.2015,19/Jan/2035,,4023,11 Yrs 0 Mn 5 Days ,ON TIME,Valid as per EC,20/Sep/2023,EXPIRED,"
(Renewal will be applied)",Will be applied after ML extension,Will be applied after ML extension,28/Jun/2022,(0.9 MTPA),EXPIRED,"Will be applied 
before expansion",31/Dec/2022,(15600 TPA),EXPIRED
"Rakha
",29/Aug/1971,28/Aug/2021,-869,,EXPIRED,"
Renewal applied on 30.04.2022","After grant 
of renewal",785.091,"283.732
(184.80+98.932)",15/Sep/2016,28/Aug/2021,-869,,EXPIRED,184.8,283.732,,will be applied,,,EXPIRING SOON,3 MTPA,01.08.2014,31/Jul/2034,,3851,10 Yrs 6 Mn 17 Days ,ON TIME,Valid as per EC,29/Jan/2023,EXPIRED,,Will be applied after ML extension,Will be applied after ML extension,,,EXPIRED,,,,EXPIRED
